geo_name,geo_sumlevel,geo_id,violent_crime_2015,violent_crime_2016,violent_crime_2017
"Park County, CO","county",05000US08093,106.11,106.11,115.36
"Phillips County, CO","county",05000US08095,37.26,37.26,128.99
"Pitkin County, CO","county",05000US08097,138.64,138.64,99.46
"Prowers County, CO","county",05000US08099,118.28,118.28,109.54
"Pueblo County, CO","county",05000US08101,530.33,530.33,575.3
"Rio Blanco County, CO","county",05000US08103,162.37,162.37,101.26
"Rio Grande County, CO","county",05000US08105,178.23,178.23,153.06
"Routt County, CO","county",05000US08107,207.85,207.85,171.26
"Saguache County, CO","county",05000US08109,241.47,241.47,210.73
"San Juan County, CO","county",05000US08111,189.39,189.39,240.15
"San Miguel County, CO","county",05000US08113,102.5,102.5,90.89
"Sedgwick County, CO","county",05000US08115,207.6,207.6,195.29
"Summit County, CO","county",05000US08117,127.4,127.4,161.31
"Teller County, CO","county",05000US08119,165.29,165.29,205.58
"Washington County, CO","county",05000US08121,199.34,199.34,186.85
"Weld County, CO","county",05000US08123,289.83,289.83,295.49
"Yuma County, CO","county",05000US08125,62.29,62.29,35.83
"Fairfield County, CT","county",05000US09001,292.43,292.43,264.01
"Hartford County, CT","county",05000US09003,323.21,323.21,293.17
"Litchfield County, CT","county",05000US09005,111.25,111.25,110.46
"Middlesex County, CT","county",05000US09007,119.28,119.28,114.34
"New Haven County, CT","county",05000US09009,406.05,406.05,381.33
"New London County, CT","county",05000US09011,384.75,384.75,349.75
"Kent County, DE","county",05000US10001,573.72,573.72,473.19
"New Castle County, DE","county",05000US10003,615.8,615.8,550.11
"Sussex County, DE","county",05000US10005,489.61,489.61,445.78
"District of Columbia, DC","county",05000US11001,1259.42,1259.42,1263.38
"Alachua County, FL","county",05000US12001,625.64,625.64,579.22
"Baker County, FL","county",05000US12003,204.57,204.57,360.05
"Bay County, FL","county",05000US12005,517.59,517.59,507.78
"Bradford County, FL","county",05000US12007,398.35,398.35,461.34
"Brevard County, FL","county",05000US12009,572.6,572.6,518.32
"Broward County, FL","county",05000US12011,484.95,484.95,440.86
"Calhoun County, FL","county",05000US12013,117.12,117.12,130.14
"Charlotte County, FL","county",05000US12015,242.56,242.56,219.46
"Citrus County, FL","county",05000US12017,325.84,325.84,355.72
"Clay County, FL","county",05000US12019,412.38,412.38,337.62
"Collier County, FL","county",05000US12021,293.66,293.66,247.34
"Columbia County, FL","county",05000US12023,614.03,614.03,643.05
"DeSoto County, FL","county",05000US12027,556.03,556.03,458.76
"Dixie County, FL","county",05000US12029,401.78,401.78,404.04
"Duval County, FL","county",05000US12031,645.58,645.58,644.69
"Escambia County, FL","county",05000US12033,772.53,772.53,735.92
"Flagler County, FL","county",05000US12035,273.51,273.51,265.02
"Franklin County, FL","county",05000US12037,848.35,848.35,456.84
"Gadsden County, FL","county",05000US12039,688.94,688.94,461.57
"Gilchrist County, FL","county",05000US12041,218.86,218.86,242.6
"Glades County, FL","county",05000US12043,307.09,307.09,293.09
"Gulf County, FL","county",05000US12045,370.82,370.82,475.21
"Hamilton County, FL","county",05000US12047,414.14,414.14,397.36
"Hardee County, FL","county",05000US12049,308.7,308.7,260.21
"Hendry County, FL","county",05000US12051,629.04,629.04,681.9
"Hernando County, FL","county",05000US12053,329.41,329.41,286.01
"Highlands County, FL","county",05000US12055,287.29,287.29,329.45
"Hillsborough County, FL","county",05000US12057,394.33,394.33,339.05
"Holmes County, FL","county",05000US12059,287.04,287.04,295.84
"Indian River County, FL","county",05000US12061,319.06,319.06,295.94
"Jackson County, FL","county",05000US12063,462.94,462.94,408.41
"Jefferson County, FL","county",05000US12065,787.33,787.33,764.1
"Lafayette County, FL","county",05000US12067,219.13,219.13,290.78
"Lake County, FL","county",05000US12069,362.79,362.79,317.31
"Lee County, FL","county",05000US12071,359.19,359.19,340.5
"Leon County, FL","county",05000US12073,717.16,717.16,683.06
"Levy County, FL","county",05000US12075,356.5,356.5,275.16
"Liberty County, FL","county",05000US12077,142.46,142.46,127.31
"Madison County, FL","county",05000US12079,776.43,776.43,808.94
"Manatee County, FL","county",05000US12081,629.33,629.33,580.77
"Marion County, FL","county",05000US12083,505.69,505.69,441.52
"Martin County, FL","county",05000US12085,263.43,263.43,232.47
"Miami-Dade County, FL","county",05000US12086,708.83,708.83,650.34
"Monroe County, FL","county",05000US12087,488.61,488.61,514.68
"Nassau County, FL","county",05000US12089,205.09,205.09,130.63
"Okaloosa County, FL","county",05000US12091,426.29,426.29,435.07
"Okeechobee County, FL","county",05000US12093,516.4,516.4,420.6
"Orange County, FL","county",05000US12095,729.69,729.69,681.43
"Osceola County, FL","county",05000US12097,568.84,568.84,468.14
"Palm Beach County, FL","county",05000US12099,502.88,502.88,462.93
"Pasco County, FL","county",05000US12101,325.37,325.37,296.47
"Pinellas County, FL","county",05000US12103,604.61,604.61,535.94
"Polk County, FL","county",05000US12105,389,389,355.72
"Putnam County, FL","county",05000US12107,820.31,820.31,620.03
"St. Johns County, FL","county",05000US12109,308.35,308.35,270.63
"St. Lucie County, FL","county",05000US12111,400.68,400.68,379.67
"Santa Rosa County, FL","county",05000US12113,158.35,158.35,143.64
"Sarasota County, FL","county",05000US12115,360.49,360.49,289.01
"Seminole County, FL","county",05000US12117,354.74,354.74,342.07
"Sumter County, FL","county",05000US12119,189.6,189.6,173.51
"Suwannee County, FL","county",05000US12121,419.93,419.93,415.91
"Taylor County, FL","county",05000US12123,689.56,689.56,743.41
"Union County, FL","county",05000US12125,277.3,277.3,300.44
"Volusia County, FL","county",05000US12127,494.43,494.43,426.46
"Wakulla County, FL","county",05000US12129,288.09,288.09,272.32
"Walton County, FL","county",05000US12131,385.33,385.33,373.66
"Washington County, FL","county",05000US12133,229.42,229.42,235.7
"Appling County, GA","county",05000US13001,186.02,186.02,161.14
"Atkinson County, GA","county",05000US13003,424.28,424.28,
"Baker County, GA","county",05000US13007,224.5,224.5,224.5
"Baldwin County, GA","county",05000US13009,504.63,504.63,563.73
"Banks County, GA","county",05000US13011,230.72,230.72,155.78
"Barrow County, GA","county",05000US13013,482.16,482.16,480.48
"Bartow County, GA","county",05000US13015,359.79,359.79,441.98
"Ben Hill County, GA","county",05000US13017,498.26,498.26,400.74
"Berrien County, GA","county",05000US13019,263.26,263.26,208.49
"Bibb County, GA","county",05000US13021,544.86,544.86,510.82
"Bleckley County, GA","county",05000US13023,234.08,234.08,274.08
"Brantley County, GA","county",05000US13025,221.12,221.12,171.18
"Brooks County, GA","county",05000US13027,677.81,677.81,479.27
"Bryan County, GA","county",05000US13029,155.55,155.55,144.09
"Bulloch County, GA","county",05000US13031,249.28,249.28,171.05
"Burke County, GA","county",05000US13033,857.64,857.64,648.91
"Butts County, GA","county",05000US13035,254.99,254.99,231.05
"Calhoun County, GA","county",05000US13037,359.82,359.82,1717.73
"Camden County, GA","county",05000US13039,386.19,386.19,411.69
"Candler County, GA","county",05000US13043,181.85,181.85,
"Carroll County, GA","county",05000US13045,430.93,430.93,288.42
"Catoosa County, GA","county",05000US13047,195.42,195.42,221.92
"Charlton County, GA","county",05000US13049,147.11,147.11,136
"Chatham County, GA","county",05000US13051,395.82,395.82,397.11
"Chattahoochee County, GA","county",05000US13053,77.29,77.29,0
"Chattooga County, GA","county",05000US13055,163.38,163.38,178.5
"Cherokee County, GA","county",05000US13057,99.92,99.92,83.88
"Clarke County, GA","county",05000US13059,365.14,365.14,371.84
"Clay County, GA","county",05000US13061,201.06,201.06,49.13
"Clayton County, GA","county",05000US13063,549.59,549.59,576.33
"Clinch County, GA","county",05000US13065,486.97,486.97,486.2
"Cobb County, GA","county",05000US13067,263.66,263.66,266.65
"Coffee County, GA","county",05000US13069,341.24,341.24,413.28
"Colquitt County, GA","county",05000US13071,388.02,388.02,388.02
"Columbia County, GA","county",05000US13073,90.45,90.45,52.98
"Cook County, GA","county",05000US13075,243.27,243.27,205.62
"Coweta County, GA","county",05000US13077,191.31,191.31,187.21
"Crawford County, GA","county",05000US13079,296.38,296.38,239.01
"Crisp County, GA","county",05000US13081,473.65,473.65,405.39
"Dade County, GA","county",05000US13083,290.65,290.65,416.24
"Dawson County, GA","county",05000US13085,65.04,65.04,73.51
"Decatur County, GA","county",05000US13087,443.83,443.83,627.33
"DeKalb County, GA","county",05000US13089,604.97,604.97,628.24
"Dodge County, GA","county",05000US13091,400.83,400.83,394.93
"Dooly County, GA","county",05000US13093,350.11,350.11,284.16
"Dougherty County, GA","county",05000US13095,818.03,818.03,868.98
"Douglas County, GA","county",05000US13097,289.29,289.29,301.23
"Early County, GA","county",05000US13099,582.19,582.19,864.56
"Echols County, GA","county",05000US13101,81.34,81.34,65.45
"Effingham County, GA","county",05000US13103,120.58,120.58,88.91
"Elbert County, GA","county",05000US13105,367.4,367.4,363.32
"Emanuel County, GA","county",05000US13107,417.83,417.83,446.04
"Evans County, GA","county",05000US13109,186.03,186.03,117
"Fannin County, GA","county",05000US13111,418.6,418.6,223.18
"Fayette County, GA","county",05000US13113,78.52,78.52,80.14
"Floyd County, GA","county",05000US13115,439.65,439.65,358.67
"Forsyth County, GA","county",05000US13117,141.12,141.12,69.2
"Franklin County, GA","county",05000US13119,126.09,126.09,142.24
"Fulton County, GA","county",05000US13121,855.67,855.67,807.6
"Gilmer County, GA","county",05000US13123,151.9,151.9,237.36
"Glascock County, GA","county",05000US13125,0,0,20.26
"Glynn County, GA","county",05000US13127,599.06,599.06,557.84
"Gordon County, GA","county",05000US13129,339.24,339.24,308.75
"Grady County, GA","county",05000US13131,185.83,185.83,213.04
"Greene County, GA","county",05000US13133,299.58,299.58,250.08
"Gwinnett County, GA","county",05000US13135,234.83,234.83,210.74
"Habersham County, GA","county",05000US13137,163.34,163.34,158.9
"Hall County, GA","county",05000US13139,170.83,170.83,169.02
"Hancock County, GA","county",05000US13141,115.86,115.86,108.94
"Haralson County, GA","county",05000US13143,561.67,561.67,672.99
"Harris County, GA","county",05000US13145,94.68,94.68,89.34
"Hart County, GA","county",05000US13147,347.55,347.55,357.64
"Heard County, GA","county",05000US13149,243.75,243.75,188.82
"Henry County, GA","county",05000US13151,188.36,188.36,179.08
"Houston County, GA","county",05000US13153,335.05,335.05,326.36
"Irwin County, GA","county",05000US13155,282.91,282.91,329.91
"Jackson County, GA","county",05000US13157,134.91,134.91,149.79
"Jasper County, GA","county",05000US13159,218.16,218.16,306.81
"Jeff Davis County, GA","county",05000US13161,385.47,385.47,470.01
"Jefferson County, GA","county",05000US13163,297.03,297.03,472.31
"Johnson County, GA","county",05000US13167,355.93,355.93,303.37
"Jones County, GA","county",05000US13169,98.23,98.23,80.65
"Lamar County, GA","county",05000US13171,419.35,419.35,378.95
"Lanier County, GA","county",05000US13173,247.83,247.83,361.43
"Laurens County, GA","county",05000US13175,365.15,365.15,285.82
"Lee County, GA","county",05000US13177,258.74,258.74,307.45
"Liberty County, GA","county",05000US13179,368.77,368.77,366.46
"Lincoln County, GA","county",05000US13181,377.55,377.55,377.26
"Long County, GA","county",05000US13183,169.96,169.96,163
"Lowndes County, GA","county",05000US13185,310.25,310.25,260.33
"Lumpkin County, GA","county",05000US13187,291.14,291.14,125.75
"McDuffie County, GA","county",05000US13189,144.67,144.67,122.49
"McIntosh County, GA","county",05000US13191,242.33,242.33,162.44
"Macon County, GA","county",05000US13193,309.03,309.03,447.12
"Madison County, GA","county",05000US13195,497.35,497.35,159.69
"Meriwether County, GA","county",05000US13199,252.1,252.1,302.1
"Miller County, GA","county",05000US13201,199.59,199.59,249.76
"Mitchell County, GA","county",05000US13205,423.64,423.64,253.54
"Monroe County, GA","county",05000US13207,156.05,156.05,184.33
